sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)",insured_losses,"Disaster name","Disaster No."
21/11/2000,21/11/2000,Thailand,THA,"Songkhla, Nakhon Si Thammarat, Surat Thani, Satun, Phatthalung, Chumphon, Narathiwat, Yala, Pattani, Trang provinces",,,630,Km2,Flood,"Riverine flood",--,--,51,808801,57500,0,,2000-0755
/09/2000,/09/2000,Thailand,THA,"Wang Pong, Chon Daen districts (Phetchabun province)",,,,Km2,Flood,"Riverine flood",--,--,9,12500,506,0,,2000-0777
04/05/2001,05/05/2001,Thailand,THA,"Phrae, Sukhothai, Lampang provinces",,,19750,Km2,Flood,"Flash flood","Slide (land, mud, sn",--,83,4130,4000,0,,2001-0176
11/03/2001,11/03/2001,Thailand,THA,"Pathiu district (Chumphon province), Muang, Bang Saphan, Bang Saphan Noi, Hua Hin, Kui Buri, Pran Buri districts (Prachuap Khirikhan province), Si Satchnalai district (Sukhothai province), Laplae district (Uttaradit province), Khanom, Pak Phanang district (Nakhon Si Thamarat province)",,,,Km2,Flood,--,--,--,2,6000,0,0,,2001-0187
04/05/2001,04/05/2001,Thailand,THA,"Wang Chin district (Phrae province)",,,,Km2,Flood,"Flash flood",--,--,33,5140,0,0,,2001-0308
27/06/2001,27/06/2001,Thailand,THA,"Muang Satun, Langu, Tha Phae, Khuan Don districts (Satun province)",,,,Kph,Storm,--,--,--,0,150,0,0,,2001-0357
08/08/2001,06/09/2001,Thailand,THA,"Nam Kor village (Lom Sak District, Phetchabun Province), Udon Thani, Chiang Mai, Chiang Rai, Lamphun, Nong Khai, Phrae, Nan provinces",,,4160,Km2,Flood,"Flash flood",--,--,104,450109,24500,0,,2001-0450
27/06/2001,27/06/2001,Thailand,THA,"Ranong province",,,,Km2,Flood,"Flash flood",--,--,0,1000,0,0,,2001-0479
31/08/2001,31/08/2001,Thailand,THA,"Ubon Ratchathani, Yasothon provinces",,,,Km2,Flood,--,--,--,0,4000,0,0,,2001-0528
12/01/2002,12/01/2002,Thailand,THA,"Muang Chang Rai, Chiang Saen, Mae Chan, Wiang Chai, Phan districts (Chiang Rai province)",,,,Kph,Storm,"Convective storm",Hail,--,1,27704,2000,0,,2002-0069
23/04/2002,23/04/2002,Thailand,THA,"Sam Ngao, Phop Phra districts (Tak province)",,,,Kph,Storm,"Convective storm",--,--,0,2500,0,0,,2002-0286
29/09/2002,29/09/2002,Thailand,THA,"Kalasin province",,,,Km2,Flood,"Flash flood",--,--,0,1500,0,0,,2002-0629
/10/2002,/10/2002,Thailand,THA,"Tak, Chiang Mai, Chiang Rai, Lamphun, Sukhothai, Phitsanulok, Mae Hong Son, Uttaradit, Phetchabun, Phichit, Nakhon Sawan, Kampaeng Phet, Uthai Thani, Sakon Nakhon, Khon Kaen, Chaiyaphum, Nong Khai, Kalasin, Nakhon Phanom, Nong Bua Lamphu, Roi Et, Si Saket, Ubon Ratchathani provinces",,,,Km2,Flood,"Flash flood",--,--,154,3289420,35827,0,,2002-0641
/02/2002,//2002,Thailand,THA,"Nakhon Sawan, Udon Thani, Khon Kaen, Satun, Phrae, Loei, Kalasin, Sukhothai, Nakhon Ratchasima provinces",,,4500,Km2,Drought,Drought,--,--,0,5000000,2300,0,,2002-9158
11/04/2003,11/04/2003,Thailand,THA,"Muang Chiang Rai, Wiang Chai, Phan, Mae Fa Luang, Mae Suai districts (Chiang Rai province)",,,0,Kph,Storm,"Convective storm",--,--,0,5000,0,0,,2003-0235
15/10/2003,15/10/2003,Thailand,THA,"Phetchaburi, Ratchaburi, Kanchanaburi, Prachuap Khilikhan provinces",,,,Km2,Flood,"Riverine flood",--,--,3,3000,25000,25000,,2003-0561
11/12/2003,11/12/2003,Thailand,THA,"Nakhon Si Thammarat, Songkhla, Surat Thani, Yala provinces",,,,Km2,Flood,"Flash flood",--,--,6,104700,1400,0,,2003-0617
03/10/2003,25/10/2003,Thailand,THA,"Phuket, Phangnga, Satun, Trang provinces",,,,Km2,Flood,"Riverine flood","Slide (land, mud, sn",--,0,0,0,0,,2003-0774
20/05/2004,23/05/2004,Thailand,THA,"Mae Ramat district (Tak province)",,,,Kph,Storm,--,Flood,"Slide (land, mud, sn",13,5050,0,0,,2004-0244
