"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
192,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",192,"Kanthaor Khang kaeut","Khum","Commune",NA,NA
193,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",193,"Kanthaor Khang Lech","Khum","Commune",NA,NA
194,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",194,"Preaek Kroes","Khum","Commune",NA,NA
195,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",195,"Ruessei srok Khang K","Khum","Commune",NA,NA
196,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",196,"Ruessei Srok Khang L","Khum","Commune",NA,NA
197,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",197,"Svay Tong Khang Cheu","Khum","Commune",NA,NA
198,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",198,"Svay Tong Khang Tbou","Khum","Commune",NA,NA
199,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",199,"Boeng Tuk","Khum","Commune",NA,NA
200,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",200,"Chum Kriel","Khum","Commune",NA,NA
201,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",201,"Kampong Kraeng","Khum","Commune",NA,NA
202,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",202,"Kampong Samraong","Khum","Commune",NA,NA
203,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",203,"Kandal","Khum","Commune",NA,NA
204,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",204,"Kaoh Touch","Khum","Commune",NA,NA
205,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",205,"Koun Satv","Khum","Commune",NA,NA
206,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",206,"Meakprang","Khum","Commune",NA,NA
207,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",207,"n.a. ( 1400)","Khum","Commune",NA,NA
208,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",208,"Preaek Tnaot","Khum","Commune",NA,NA
